text,span,label,ordinal
"makanannya enak enak, pelayanannya juga mantap, terbaik lah",pelayanannya,positif,0
"Rasanya ga pernah bisa bohong, setiap ke McD selalu yang keinget ayam spicy sama mc flurry. Kadang juga ada menu seasonal dan event kaya BTS lalu yang paling ga bisa lupa mc fries shake shake rasa BBQ dulu event piala dunia enak banget sih …",Rasanya,positif,1
"Rasanya selalu enak gak pernah berubah, higines. Anak2 pada suka makan ayam goreng mcd",Rasanya,positif,0
"Pelayanannya cukup ramah dan praktis. Makanannya enak dan segar, khususnya es krim. Sip, lah.",Pelayanannya,positif,0
"Tempatnya nyaman bersih ,makanannya recommended, banyak promo menarik untuk makanan, 24 jam nonstop",Tempatnya,positif,0
"Menu season yang paling melekat di hati, ayam gulai mcd, orangtua sampai anak2 suka. Pelayanannya bagus dine in atau take away semua bagus. Males masak ya ke McD aja  bawa anak2, kenyang & happy😅 …",Pelayanannya,positif,0
"tempat makan dan nongkrong paling nyaman, lokasi ditengah kota banyak anak muda kumpul disini..
Fasilitas nyaman dan lahan parkirnya luas..",tempat,positif,0
"Makan disini selain bisa buat kenyang rasanya juga nikmat
Apalagi ayam goreng tepungnya
Utk pelayanan memuaskan …",rasanya,positif,0
"Makan disini selain bisa buat kenyang rasanya juga nikmat
Apalagi ayam goreng tepungnya
Utk pelayanan memuaskan …",pelayanan,positif,0
"Tempat lumayan nyaman, untuk penyajian sesuai, dan rasa memang khas Mc Donald, bisa untuk keluarga dan anak-anak bisa bermain diarena permainan yg sudah disediakan.",Tempat,positif,0
"Tempat lumayan nyaman, untuk penyajian sesuai, dan rasa memang khas Mc Donald, bisa untuk keluarga dan anak-anak bisa bermain diarena permainan yg sudah disediakan.",rasa,positif,0
"Restoran bagus  dan cepat saji tujuan pertamaku di bandung. Tempatnya nyaman, untuk rasa tidak perlu diragukan. Pelayanan memuaskan. Saya pasti akan berkunjung lagi. Bintang 5 untuk McDonald's Bandung Buah Batu",Tempatnya,positif,0
"Restoran bagus  dan cepat saji tujuan pertamaku di bandung. Tempatnya nyaman, untuk rasa tidak perlu diragukan. Pelayanan memuaskan. Saya pasti akan berkunjung lagi. Bintang 5 untuk McDonald's Bandung Buah Batu",rasa,positif,0
"Restoran bagus  dan cepat saji tujuan pertamaku di bandung. Tempatnya nyaman, untuk rasa tidak perlu diragukan. Pelayanan memuaskan. Saya pasti akan berkunjung lagi. Bintang 5 untuk McDonald's Bandung Buah Batu",pelayanan,positif,0
McDonald's merupakan restoran cepat saji terbaik yang selalu menjadi pilihan saya ketika lapar. Pelayanan cepat professional dan ramah. Menu nya juga enak enak dan siap kapan saja selama 24 jam. Terima Kasih McDonald's,pelayanan,positif,0
Makanan disini sangat cocok untuk dinikmati bersama teman. Rasanya lezat dan istimewa membuat ingin mencoba semua jenis makanan dan minuman yang ditawarkan. Pelayanan yang baik dan suasananya juga mendukung. Harus mampir pokoknya!,Rasanya,positif,0
"Tempatnya nyaman dan bersih, enak buat nongkrong. Area parkir luas. Pelayanannya juga ramah. Rekomen bangett!! Ga nyesel mampir ke sini.",Tempatnya,positif,0
"Tempatnya nyaman dan bersih, enak buat nongkrong. Area parkir luas. Pelayanannya juga ramah. Rekomen bangett!! Ga nyesel mampir ke sini.",Pelayanannya,positif,0
"Tempat nyaman
Dan makanannya enak banget
Recommended untuk tempat nongkrong sambil ngemil",Tempat,positif,0
"Satu hal yg saya tau.
Kondisi saya sedang lelah dan butuh tempat buat lunch serta badan dapat istirahat sekedar duduk. Pas sampai di MCD ini. Hati sejuk ngeliat senyum sapa dari …",tempat,positif,0
"Sangat strategis,ramai, cukup luas dan nyaman, pelayanan ramah dan cepat.. parkiran juga luas , akhirnya kesampaian juga cobain menu ayam gulai cukup enak&cita rasa nya unik.. harganya standar lah sesuai rasa ,salam sukses selalu ☺️",pelayanan,positif,0
"Sangat strategis,ramai, cukup luas dan nyaman, pelayanan ramah dan cepat.. parkiran juga luas , akhirnya kesampaian juga cobain menu ayam gulai cukup enak&cita rasa nya unik.. harganya standar lah sesuai rasa ,salam sukses selalu ☺️",harganya,netral,0
"Sangat strategis,ramai, cukup luas dan nyaman, pelayanan ramah dan cepat.. parkiran juga luas , akhirnya kesampaian juga cobain menu ayam gulai cukup enak&cita rasa nya unik.. harganya standar lah sesuai rasa ,salam sukses selalu ☺️",rasa,positif,1
"Tempat paling enak buat makan sama temen-temen, Pelayanan Cepat dan fasilitas nya ok. the best",Tempat,positif,0
"Tempat paling enak buat makan sama temen-temen, Pelayanan Cepat dan fasilitas nya ok. the best",Pelayanan,positif,0
Tempat yg cocok sambil bertemu dgn teman atau rekan kerja sambil diskusi apa lagi bawa anak Coco disini karena sudah di sediakan tempat bermain dan smoking area dengan parkiran yang cukup luas...,Tempat,positif,1
"Tempat parkir lumayan luas. Cocok untuk nongkrong. Ayam spicy nya cukup enak walaupun kurang pedas menurut saya. Jangan lupa untuk mencicipi menu baru dari Mc'donalds. Menerima pembayaran baik dari kartu debit, kartu kredit, pembayaran non …",Tempat,positif,0
