Review,aspek,sentimen
"makanannya enak enak, pelayanannya juga mantap, terbaik lah",pelayanan,positif
"Rasanya ga pernah bisa bohong, setiap ke McD selalu yang keinget ayam spicy sama mc flurry. Kadang juga ada menu seasonal dan event kaya BTS lalu yang paling ga bisa lupa mc fries shake shake rasa BBQ dulu event piala dunia enak banget sih …",rasa,positif
"Rasanya selalu enak gak pernah berubah, higines. Anak2 pada suka makan ayam goreng mcd",rasa,positif
"Pelayanannya cukup ramah dan praktis. Makanannya enak dan segar, khususnya es krim. Sip, lah.",pelayanan,positif
"Tempatnya nyaman bersih ,makanannya recommended, banyak promo menarik untuk makanan, 24 jam nonstop",tempat,positif
"Menu season yang paling melekat di hati, ayam gulai mcd, orangtua sampai anak2 suka. Pelayanannya bagus dine in atau take away semua bagus. Males masak ya ke McD aja  bawa anak2, kenyang & happy😅 …",pelayanan,positif
"tempat makan dan nongkrong paling nyaman, lokasi ditengah kota banyak anak muda kumpul disini..
Fasilitas nyaman dan lahan parkirnya luas..",tempat,positif
"Makan disini selain bisa buat kenyang rasanya juga nikmat
Apalagi ayam goreng tepungnya
Utk pelayanan memuaskan …",rasa,positif
"Makan disini selain bisa buat kenyang rasanya juga nikmat
Apalagi ayam goreng tepungnya
Utk pelayanan memuaskan …",pelayanan,positif
"Tempat lumayan nyaman, untuk penyajian sesuai, dan rasa memang khas Mc Donald, bisa untuk keluarga dan anak-anak bisa bermain diarena permainan yg sudah disediakan.",tempat,positif
"Tempat lumayan nyaman, untuk penyajian sesuai, dan rasa memang khas Mc Donald, bisa untuk keluarga dan anak-anak bisa bermain diarena permainan yg sudah disediakan.",rasa,positif
"Restoran bagus  dan cepat saji tujuan pertamaku di bandung. Tempatnya nyaman, untuk rasa tidak perlu diragukan. Pelayanan memuaskan. Saya pasti akan berkunjung lagi. Bintang 5 untuk McDonald's Bandung Buah Batu",tempat,positif
"Restoran bagus  dan cepat saji tujuan pertamaku di bandung. Tempatnya nyaman, untuk rasa tidak perlu diragukan. Pelayanan memuaskan. Saya pasti akan berkunjung lagi. Bintang 5 untuk McDonald's Bandung Buah Batu",rasa,positif
"Restoran bagus  dan cepat saji tujuan pertamaku di bandung. Tempatnya nyaman, untuk rasa tidak perlu diragukan. Pelayanan memuaskan. Saya pasti akan berkunjung lagi. Bintang 5 untuk McDonald's Bandung Buah Batu",pelayanan,positif
McDonald's merupakan restoran cepat saji terbaik yang selalu menjadi pilihan saya ketika lapar. Pelayanan cepat professional dan ramah. Menu nya juga enak enak dan siap kapan saja selama 24 jam. Terima Kasih McDonald's,pelayanan,positif
Makanan disini sangat cocok untuk dinikmati bersama teman. Rasanya lezat dan istimewa membuat ingin mencoba semua jenis makanan dan minuman yang ditawarkan. Pelayanan yang baik dan suasananya juga mendukung. Harus mampir pokoknya!,rasa,positif
"Tempatnya nyaman dan bersih, enak buat nongkrong. Area parkir luas. Pelayanannya juga ramah. Rekomen bangett!! Ga nyesel mampir ke sini.",tempat,positif
"Tempatnya nyaman dan bersih, enak buat nongkrong. Area parkir luas. Pelayanannya juga ramah. Rekomen bangett!! Ga nyesel mampir ke sini.",pelayanan,positif
"Tempat nyaman
Dan makanannya enak banget
Recommended untuk tempat nongkrong sambil ngemil",tempat,positif
"Satu hal yg saya tau.
Kondisi saya sedang lelah dan butuh tempat buat lunch serta badan dapat istirahat sekedar duduk. Pas sampai di MCD ini. Hati sejuk ngeliat senyum sapa dari …",tempat,positif
"Sangat strategis,ramai, cukup luas dan nyaman, pelayanan ramah dan cepat.. parkiran juga luas , akhirnya kesampaian juga cobain menu ayam gulai cukup enak&cita rasa nya unik.. harganya standar lah sesuai rasa ,salam sukses selalu ☺️",pelayanan,positif
"Sangat strategis,ramai, cukup luas dan nyaman, pelayanan ramah dan cepat.. parkiran juga luas , akhirnya kesampaian juga cobain menu ayam gulai cukup enak&cita rasa nya unik.. harganya standar lah sesuai rasa ,salam sukses selalu ☺️",harga,netral
"Sangat strategis,ramai, cukup luas dan nyaman, pelayanan ramah dan cepat.. parkiran juga luas , akhirnya kesampaian juga cobain menu ayam gulai cukup enak&cita rasa nya unik.. harganya standar lah sesuai rasa ,salam sukses selalu ☺️",rasa,positif
"Tempat paling enak buat makan sama temen-temen, Pelayanan Cepat dan fasilitas nya ok. the best",tempat,positif
"Tempat paling enak buat makan sama temen-temen, Pelayanan Cepat dan fasilitas nya ok. the best",pelayanan,positif
Tempat yg cocok sambil bertemu dgn teman atau rekan kerja sambil diskusi apa lagi bawa anak Coco disini karena sudah di sediakan tempat bermain dan smoking area dengan parkiran yang cukup luas...,tempat,positif
"Tempat parkir lumayan luas. Cocok untuk nongkrong. Ayam spicy nya cukup enak walaupun kurang pedas menurut saya. Jangan lupa untuk mencicipi menu baru dari Mc'donalds. Menerima pembayaran baik dari kartu debit, kartu kredit, pembayaran non …",tempat,positif
"Makanan yang enak, pelayanan yang ramah, suasana yang bagus untuk berkumpul bersama keluarga ataupun rekan",pelayanan,positif
Dari segi tempat McDonald's bandung batu ini sangat strategis karena di jalan utama yang ramai dan akses yang sangat gampang di jangkau. …,tempat,positif
Tempat favorit anak karena dia senang makan burger McDonalds apalagi ada tempat mainnya 👍 …,tempat,positif
Tempatnya asik buat makan maupun sekedar nongkrong bersama keluarga dan teman-teman. Fasilitas sangat baik dan pelayanan juga ramah.,tempat,positif
Tempatnya asik buat makan maupun sekedar nongkrong bersama keluarga dan teman-teman. Fasilitas sangat baik dan pelayanan juga ramah.,pelayanan,positif
"Tempatnya asik buat makan dan nongkrong sama teman maupun keluarga, pelayananny juga ramah dan sangat memuaskan",tempat,positif
"Tempatnya asik buat makan dan nongkrong sama teman maupun keluarga, pelayanannya juga ramah dan sangat memuaskan",pelayanan,positif
"Saya baru-baru ini mengunjungi McDonald's di Jl. Buah Batu No. 161 Bandung, dan saya harus mengatakan bahwa pengalaman saya di sana sungguh mengesankan. McDonald's ini adalah salah satu tempat makan favorit saya, dan cabang ini tidak …",tempat,positif
Suka sekali sama makanannya... Tempat makannya nyaman dan bersih pelayanan nya super cepat dan ramah,tempat,positif
Suka sekali sama makanannya... Tempat makannya nyaman dan bersih pelayanan nya super cepat dan ramah,pelayanan,positif
Enak si buat nongkrong sambil nugas. Makanannya ya kaya mcd pada umumnya. Tapi tempatnya yang strategis enak banget si...,tempat,positif
"Hari minggu kemarin mampir ke bandung, lagi pengen makan MCD di buah batu, tempatnya bersih, pelayanan sangat ramah dan cepat. Ada tempat bermain anak-anak, membuat anak-anakku betah dan nyaman makan disini. Ada drive thru dan juga dine in. Memuaskan sekali 😍 …",tempat,positif
