No.,Review,aspek,span,sentimen,ordinal
1,"makanannya enak enak, pelayanannya juga mantap, terbaik lah",pelayanan,pelayanannya,positif,0
2,"Rasanya ga pernah bisa bohong, setiap ke McD selalu yang keinget ayam spicy sama mc flurry. Kadang juga ada menu seasonal dan event kaya BTS lalu yang paling ga bisa lupa mc fries shake shake rasa BBQ dulu event piala dunia enak banget sih …",rasa,Rasanya,positif,1
3,"Rasanya selalu enak gak pernah berubah, higines. Anak2 pada suka makan ayam goreng mcd",rasa,Rasanya,positif,0
4,"Pelayanannya cukup ramah dan praktis. Makanannya enak dan segar, khususnya es krim. Sip, lah.",pelayanan,Pelayanannya,positif,0
5,"Tempatnya nyaman bersih ,makanannya recommended, banyak promo menarik untuk makanan, 24 jam nonstop",tempat,Tempatnya,positif,0
7,"Menu season yang paling melekat di hati, ayam gulai mcd, orangtua sampai anak2 suka. Pelayanannya bagus dine in atau take away semua bagus. Males masak ya ke McD aja  bawa anak2, kenyang & happy😅 …",pelayanan,Pelayanannya,positif,0
8,"tempat makan dan nongkrong paling nyaman, lokasi ditengah kota banyak anak muda kumpul disini..
Fasilitas nyaman dan lahan parkirnya luas..",tempat,tempat,positif,0
9,"Makan disini selain bisa buat kenyang rasanya juga nikmat
Apalagi ayam goreng tepungnya
Utk pelayanan memuaskan …",rasa,rasanya,positif,0
9,"Makan disini selain bisa buat kenyang rasanya juga nikmat
Apalagi ayam goreng tepungnya
Utk pelayanan memuaskan …",pelayanan,pelayanan,positif,0
10,"Tempat lumayan nyaman, untuk penyajian sesuai, dan rasa memang khas Mc Donald, bisa untuk keluarga dan anak-anak bisa bermain diarena permainan yg sudah disediakan.",tempat,Tempat,positif,0
10,"Tempat lumayan nyaman, untuk penyajian sesuai, dan rasa memang khas Mc Donald, bisa untuk keluarga dan anak-anak bisa bermain diarena permainan yg sudah disediakan.",rasa,rasa,positif,0
11,"Restoran bagus  dan cepat saji tujuan pertamaku di bandung. Tempatnya nyaman, untuk rasa tidak perlu diragukan. Pelayanan memuaskan. Saya pasti akan berkunjung lagi. Bintang 5 untuk McDonald's Bandung Buah Batu",tempat,Tempatnya,positif,0
11,"Restoran bagus  dan cepat saji tujuan pertamaku di bandung. Tempatnya nyaman, untuk rasa tidak perlu diragukan. Pelayanan memuaskan. Saya pasti akan berkunjung lagi. Bintang 5 untuk McDonald's Bandung Buah Batu",rasa,rasa,positif,0
11,"Restoran bagus  dan cepat saji tujuan pertamaku di bandung. Tempatnya nyaman, untuk rasa tidak perlu diragukan. Pelayanan memuaskan. Saya pasti akan berkunjung lagi. Bintang 5 untuk McDonald's Bandung Buah Batu",pelayanan,pelayanan,positif,0
12,McDonald's merupakan restoran cepat saji terbaik yang selalu menjadi pilihan saya ketika lapar. Pelayanan cepat professional dan ramah. Menu nya juga enak enak dan siap kapan saja selama 24 jam. Terima Kasih McDonald's,pelayanan,pelayanan,positif,0
13,Makanan disini sangat cocok untuk dinikmati bersama teman. Rasanya lezat dan istimewa membuat ingin mencoba semua jenis makanan dan minuman yang ditawarkan. Pelayanan yang baik dan suasananya juga mendukung. Harus mampir pokoknya!,rasa,Rasanya,positif,0
15,"Tempatnya nyaman dan bersih, enak buat nongkrong. Area parkir luas. Pelayanannya juga ramah. Rekomen bangett!! Ga nyesel mampir ke sini.",tempat,Tempatnya,positif,0
15,"Tempatnya nyaman dan bersih, enak buat nongkrong. Area parkir luas. Pelayanannya juga ramah. Rekomen bangett!! Ga nyesel mampir ke sini.",pelayanan,Pelayanannya,positif,0
16,"Tempat nyaman
Dan makanannya enak banget
Recommended untuk tempat nongkrong sambil ngemil",tempat,Tempat,positif,0
17,"Satu hal yg saya tau.
Kondisi saya sedang lelah dan butuh tempat buat lunch serta badan dapat istirahat sekedar duduk. Pas sampai di MCD ini. Hati sejuk ngeliat senyum sapa dari …",tempat,tempat,positif,0
18,"Sangat strategis,ramai, cukup luas dan nyaman, pelayanan ramah dan cepat.. parkiran juga luas , akhirnya kesampaian juga cobain menu ayam gulai cukup enak&cita rasa nya unik.. harganya standar lah sesuai rasa ,salam sukses selalu ☺️",pelayanan,pelayanan,positif,0
18,"Sangat strategis,ramai, cukup luas dan nyaman, pelayanan ramah dan cepat.. parkiran juga luas , akhirnya kesampaian juga cobain menu ayam gulai cukup enak&cita rasa nya unik.. harganya standar lah sesuai rasa ,salam sukses selalu ☺️",harga,harganya,netral,0
18,"Sangat strategis,ramai, cukup luas dan nyaman, pelayanan ramah dan cepat.. parkiran juga luas , akhirnya kesampaian juga cobain menu ayam gulai cukup enak&cita rasa nya unik.. harganya standar lah sesuai rasa ,salam sukses selalu ☺️",rasa,rasa,positif,1
19,"Tempat paling enak buat makan sama temen-temen, Pelayanan Cepat dan fasilitas nya ok. the best",tempat,Tempat,positif,0
19,"Tempat paling enak buat makan sama temen-temen, Pelayanan Cepat dan fasilitas nya ok. the best",pelayanan,Pelayanan,positif,0
20,Tempat yg cocok sambil bertemu dgn teman atau rekan kerja sambil diskusi apa lagi bawa anak Coco disini karena sudah di sediakan tempat bermain dan smoking area dengan parkiran yang cukup luas...,tempat,Tempat,positif,1
21,"Tempat parkir lumayan luas. Cocok untuk nongkrong. Ayam spicy nya cukup enak walaupun kurang pedas menurut saya. Jangan lupa untuk mencicipi menu baru dari Mc'donalds. Menerima pembayaran baik dari kartu debit, kartu kredit, pembayaran non …",tempat,Tempat,positif,0
22,"Makanan yang enak, pelayanan yang ramah, suasana yang bagus untuk berkumpul bersama keluarga ataupun rekan",pelayanan,pelayanan,positif,0
23,Dari segi tempat McDonald's bandung batu ini sangat strategis karena di jalan utama yang ramai dan akses yang sangat gampang di jangkau. …,tempat,tempat,positif,0
24,Tempat favorit anak karena dia senang makan burger McDonalds apalagi ada tempat mainnya 👍 …,tempat,Tempat,positif,1
25,Tempatnya asik buat makan maupun sekedar nongkrong bersama keluarga dan teman-teman. Fasilitas sangat baik dan pelayanan juga ramah.,tempat,Tempatnya,positif,0
25,Tempatnya asik buat makan maupun sekedar nongkrong bersama keluarga dan teman-teman. Fasilitas sangat baik dan pelayanan juga ramah.,pelayanan,pelayanan,positif,0
26,"Tempatnya asik buat makan dan nongkrong sama teman maupun keluarga, pelayananny juga ramah dan sangat memuaskan",tempat,Tempatnya,positif,0
26,"Tempatnya asik buat makan dan nongkrong sama teman maupun keluarga, pelayanannya juga ramah dan sangat memuaskan",pelayanan,pelayanannya,positif,0
27,"Saya baru-baru ini mengunjungi McDonald's di Jl. Buah Batu No. 161 Bandung, dan saya harus mengatakan bahwa pengalaman saya di sana sungguh mengesankan. McDonald's ini adalah salah satu tempat makan favorit saya, dan cabang ini tidak …",tempat,tempat,positif,0
28,Suka sekali sama makanannya... Tempat makannya nyaman dan bersih pelayanan nya super cepat dan ramah,tempat,Tempat,positif,0
28,Suka sekali sama makanannya... Tempat makannya nyaman dan bersih pelayanan nya super cepat dan ramah,pelayanan,pelayanan,positif,0
